"","p.value","HR","Low 95%CI","High 95%CI"
"SLC9A3R1",0.0334076777043302,0.749379451085748,0.574449021495164,0.977579455611108
"SNW1",0.0407917228162813,1.76414171451953,1.02406016195141,3.03907534394996
"STK24",0.02581651678757,1.36487934287238,1.03825379108536,1.79425843333769
"STK25",0.00979020929453749,2.01836608011512,1.18462684228518,3.43889019558327
"STK3",9.79459288628029e-05,1.82777174215345,1.34941013409442,2.47571102143575
"STX4",0.000870974845575631,2.01292383658893,1.33339268224327,3.03876151854315
"SYVN1",0.0181965067957473,0.717480263016994,0.544680700683508,0.945100362786769
"TMBIM1",0.0389509773666929,1.3982588343451,1.01715119631524,1.92216041716004
"TMBIM6",0.00292208712255125,0.673774479525188,0.519480230220561,0.873896681432306
"TNF",0.0288906211380378,0.867527576807701,0.763699048873578,0.985472088294335
"TPT1",0.00391161565866327,1.44256144614398,1.12468746755996,1.850277153364
"USP28",0.0463544863540899,0.658779001063185,0.436926218859633,0.993279307830304
"WWOX",0.00158408758799909,1.48481800087096,1.16186207932437,1.8975440673582
"XBP1",0.00303286419691956,0.693933336740907,0.545006652930971,0.88355522496963
"YWHAE",0.0415513993670063,0.701954901074406,0.499461771490053,0.986543337786148
"ZNF205",0.0324490814314274,1.49240595651405,1.03405143982677,2.15393108432956
"ZSWIM2",0.0119974382627988,1.35748264739293,1.06949481679349,1.72301829708516
"CHMP3",0.00381610618125223,1.93345125699007,1.23693009047368,3.02218677671989
"CHMP6",0.0484582360657274,0.726753823926011,0.529313976705041,0.997840872970943
"PRKACA",0.0287938146875956,1.57271896935519,1.04799227035926,2.36017480903915
"AIM2",0.046049474898828,0.913983926419321,0.836684930220583,0.998424362122363
"NOD2",0.0201948734412864,0.812354865981349,0.681689831446173,0.968065530453323
"TIRAP",0.0408583446002841,0.661701975225143,0.445429705946264,0.982982271213131
"MAP1LC3B",0.00838714487757605,1.48500579093036,1.10673964880168,1.9925573295259
"PROM2",0.0244100366382266,0.921097543013283,0.85747388336622,0.989442011241704
"RPL8",0.00181182283479696,1.58685765161297,1.18724277195564,2.12097918468247
"SLC39A8",0.034200578397204,0.822904322515562,0.687074475259869,0.985586786292232
"EXOC4",0.018938400497421,1.59070405319356,1.07950555012939,2.34397996799844
"HDAC6",0.0492584692181508,1.36056226660889,1.00100007369282,1.84928026477647
"HSPA8",0.00640145277526254,0.674722610401017,0.508498501706235,0.89528405582081
"HTR2B",0.0465219153159826,1.08826486661945,1.00130376198187,1.18277835846151
"LAMP3",0.00022979653554523,0.724537318049395,0.610387795489841,0.860034111306125
"LEP",0.0269248965632826,1.11035980179663,1.01202482464537,1.21824965101808
"LEPR",0.037571082449656,1.29459092795706,1.01495294447853,1.65127425844339
"LRSAM1",0.0277519092749407,1.4780977917076,1.04368426762939,2.09332759878939
