"","p.value","HR","Low 95%CI","High 95%CI"
"TRAF2",0.00413977115982446,1.86117937878509,1.21723142366474,2.84579301246245
"TRIM32",0.0261357984860162,1.77822614284842,1.07077293171746,2.9530894192831
"TRIM39",0.033478053151003,1.70023702006803,1.04239557028016,2.7732331245737
"TXNDC12",0.0191434731779202,0.619460454185683,0.414962260090133,0.924737720043705
"ZDHHC3",0.00859876690792142,0.56049656097187,0.363940592681627,0.863207900351241
"ZNF385A",0.0194579125061716,1.23647245596191,1.03480975058848,1.47743499081163
"CHMP2B",0.0409650338417157,0.74590677132793,0.563114279385604,0.988035522949092
"NOD1",0.0252313452157429,1.53270640215858,1.0544570291609,2.22786595399464
"MAP1LC3C",0.0102715271792966,2.14452472708093,1.19758939867556,3.84020291942101
"PHKG2",0.0378696561054611,1.59780571945014,1.02659724037388,2.48684003492724
"SLC39A14",0.0206218361649685,0.716853270973456,0.540783746737549,0.950247885971944
"SLC39A8",0.0034370162606405,0.764055648165374,0.638011417156254,0.915000919725605
"VDAC3",0.0176407081431199,0.672008381103352,0.483949900214898,0.933144658305783
"GOLGA2",0.0319258361813066,1.54655489009,1.03839513646502,2.30339294173097
"GPSM1",0.00229027465148226,1.41639344688138,1.13246207507576,1.77151221265782
"LEP",0.0204115053572038,1.37165490533651,1.05010701382889,1.79166233017874
"LRSAM1",0.0286864252780431,1.64734619418951,1.05335094295405,2.57630137577901
"LZTS1",0.0120717862428196,1.32496144712271,1.06360613834947,1.65053845879995
"MAPK15",0.0101570665291938,1.21646105457849,1.04763645449722,1.41249141432023
"MID2",0.000950391398516323,1.49383498788136,1.17741661436259,1.89528748261002
"MTM1",0.0280676721157953,0.69324198151672,0.499912572927291,0.961336983631188
"PIP4K2B",0.0206362780400151,1.56390241236399,1.07091337093948,2.28383622967775
"RRAGB",0.00533658144541975,1.57589553712828,1.14436632514104,2.1701501428179
"SUPT5H",0.0225217082157292,1.70110552968573,1.07773806216884,2.68503092235972
"TMEM150A",0.0138739147713819,1.61680139307555,1.10267493712508,2.37064129839248
"TRIM6",0.0405734984637473,1.48738305887924,1.0171868249346,2.1749282527162
"TRIM8",0.0231285323217218,1.55672646280917,1.06254577193013,2.28074624550827
"TSC1",0.00575225921961954,1.8363040553496,1.19293367042474,2.82665555285466
"UCHL1",0.0348874093188176,1.17123535238638,1.01127878858658,1.35649265678454
"ULK1",0.00383031557715508,1.74149739919782,1.1957323385123,2.53636461416284
"WIPI2",0.0201237696443533,1.7943083698079,1.09590753296189,2.93778665546835
"AKR1C1",0.0197775576846971,1.36070363036575,1.05019422306129,1.76302090511735
"ALOX12",0.000253428285115273,1.85015094111582,1.33066016289908,2.5724513293116
"CARS",0.00596183021738378,1.9582136273672,1.21293542450455,3.16142189677816
"CRYAB",0.0401683047790998,1.18193631452292,1.00752643865751,1.38653776018962
"FDFT1",0.0010307632855697,0.641600398002758,0.492227102844633,0.836303137999356
"CDK5R1",0.0400528288785263,1.45177313325849,1.01707297474915,2.07226549399861
"EEF1A2",0.00854682736817392,1.24785453773105,1.0580113206198,1.47176208513892
"GLA",0.0460026438155493,0.731895475641952,0.538645813895052,0.994477212013622
"GLB1",0.0427012394251977,0.70040847976967,0.496351406058129,0.988356298674023
"HEXB",0.0220409141517913,0.631717701330034,0.42635329048834,0.93600134695012
"HYAL1",0.04663005722122,0.865259487251245,0.750292099843597,0.997843347190186
"IDUA",0.00499092410917554,1.45302058064263,1.11941689784892,1.88604336045675
"IL13",0.0307105199371515,0.205120069685647,0.0487486817478682,0.863084733356601
"IL13RA2",0.0152169484964022,0.706698907433494,0.533936880072306,0.935360272734978
"LAT",0.00981974382151945,2.29734106654037,1.22190015408111,4.31931852892007
"NAPSA",0.0107345196910073,1.39734191252438,1.08062423285029,1.80688565103444
"PLA2G15",0.0162712184670927,1.62986696692819,1.0942027514959,2.42776425690029
"SLC11A1",0.0269923494798449,1.22291065982778,1.02316287746988,1.46165436105205
"ATG13",0.0323268134532133,1.66057784451685,1.04366903297136,2.64213911746473
"ATP6V1B1",4.86224572331061e-08,2.02062595924894,1.56946443587405,2.60147931604254
"ATP6V1B2",0.0442330999521571,0.748711531713723,0.564770532091813,0.992560563747648
"ATP6V1C2",0.0110341992684908,1.27860921075607,1.05785713038175,1.54542751273066
"ATP6V1G2",0.0379668423618364,1.67884854703187,1.02919149715707,2.73858893282413
"FUCA1",0.02583515389395,0.707987703917963,0.52255757527049,0.959217917067934
"GALNS",0.00274210628706047,1.70352748694726,1.20216657202387,2.41397986461998
"GATA2",0.0329444795057379,1.2838925139116,1.02045286185747,1.61534162810597
"CTSD",0.0102819470786068,1.47579172827849,1.096302210167,1.98664310356853
"FES",0.00717870641002586,1.39155640476249,1.09366368577419,1.77058930713671
"DLAT",0.00734952491638786,0.654294406490803,0.479812635900123,0.892225711317583
"PDHB",0.0287484426337965,0.639148112105104,0.427934583187257,0.954609244630181
"CDKN2A",0.00210993304610638,1.23333289555021,1.07898105964096,1.40976527590987
"AP3M2",0.0385826169461707,1.43143568308245,1.01901692265744,2.01076946735903
"ASAH1",0.00400529508166991,0.638256950953147,0.470091733499554,0.86657966181912
"ATP6V0A4",0.0489910855142381,1.41199295047694,1.00152672913699,1.99068485562493
"CDC42",0.0308109303099339,0.719503559026185,0.533674304448608,0.970039904743437
"AP3B1",0.033909177947366,0.706019920101971,0.511825947830318,0.973893820143025
"MMP1",0.0469334650285162,0.911667370379032,0.832180078281079,0.998747045147471
