"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LMOD1",1.15109800877198,3.37388005028368,8.57996149309435,1.78335986439382e-16,5.338933594029e-14,26.7858721120659
"GLIS2",0.810283341532165,2.97965786332012,8.56545061216334,1.98576296547438e-16,5.85341821822909e-14,26.6813756999435
"ISLR",1.12921077138775,5.62340489055818,8.5526932687987,2.18237513548283e-16,6.33550115088652e-14,26.5896094087545
"GADD45B",0.630853662616086,4.84025684784025,8.53140774709142,2.55416016495348e-16,7.12256226276362e-14,26.4367119673924
"GGT5",0.816297352310694,3.19877646774496,8.52746732597623,2.62955761026711e-16,7.19747483038825e-14,26.4084366477863
"JPH2",0.75931727225784,1.39077224825361,8.48550588324657,3.58245080441449e-16,9.6675714665608e-14,26.1079043339292
"MFGE8",0.762657140555809,4.98174172517514,8.48046832346422,3.71768377521236e-16,9.8931696018151e-14,26.0718951052515
"ITGA7",0.648254801264069,2.66429882647887,8.4739768475206,3.89941496989031e-16,1.00963230842025e-13,26.0255153393429
"TAFA5",0.701897516217356,2.20680080186545,8.46560671629033,4.14675965502722e-16,1.05935886653762e-13,25.9657501593471
"KCNE4",0.709535563178764,2.01284670503047,8.42594508849265,5.5465648686046e-16,1.36246388310852e-13,25.6831231603049
"ARHGEF17",0.665669013626996,2.92064050217721,8.4191540353753,5.82923390137491e-16,1.41377369051067e-13,25.6348247786715
"KIF26B",0.790941385561811,1.75073227810647,8.40918220549774,6.27029812202462e-16,1.48600845136368e-13,25.5639546309676
"PLXNB3",0.650901505808543,0.974677426407507,8.40892314131331,6.28218604177755e-16,1.48600845136368e-13,25.5621142477451
"ADAMTSL2",0.766424851183992,2.56653600426118,8.39406352314642,7.00269370198574e-16,1.61652543771141e-13,25.4566194824976
"APBB1",0.661287706434483,2.22488450080833,8.38258114992836,7.61487843911063e-16,1.73691751063524e-13,25.3751921397749
"CILP2",0.660201822031458,0.923527907876216,8.37791903811041,7.87828216780297e-16,1.77585748629535e-13,25.3421533885598
"AOC3",1.00503483383505,3.39533478763093,8.36804118368496,8.46649532006154e-16,1.88625639921371e-13,25.2721957680121
"MAP1A",0.700614471730357,1.9464171042353,8.32640526965224,1.14613953885257e-15,2.41022720088464e-13,24.9779666159206
"P4HA3",0.648942512281981,1.4177531886749,8.32506935760327,1.1573115995897e-15,2.41022720088464e-13,24.9685434742136
"SNCG",0.762910354834569,2.20145979131607,8.31944284300023,1.20555888267616e-15,2.48371055828767e-13,24.9288675232514
"FHL3",0.680491178310661,4.35855441437341,8.31794127067405,1.21876751578316e-15,2.48421123429844e-13,24.9182822758482
"GSKIP",-0.63479348272935,5.56129912996815,-8.29934510638676,1.39469895484872e-15,2.81288757630541e-13,24.7873031298942
"NPTXR",0.83471289282457,1.5521170566234,8.29301920775783,1.4600915006401e-15,2.9140992866942e-13,24.7427955634587
"SEMA4C",0.612280111958366,4.34374206451247,8.28415298279837,1.55687271891273e-15,3.07522487570804e-13,24.6804558253769
"PDLIM4",0.818558776443598,2.96796153140905,8.27187630295877,1.70142752178839e-15,3.32646442014954e-13,24.5942157278284
"MMP14",0.760369141441639,7.38132640238421,8.24641619818519,2.04482051435737e-15,3.95745061162496e-13,24.4156590552549
"CALB2",1.08184556010872,1.87276248749066,8.20646914135742,2.7263464470918e-15,5.1212546986548e-13,24.1363021502201
"BMERB1",0.639577767174892,2.51802141885573,8.20168036274941,2.82181443965538e-15,5.24912278289292e-13,24.1028791021515
"SGCA",0.69371847740277,1.12351309202429,8.19890989588939,2.87854639961676e-15,5.30316817467858e-13,24.08354920099
"MEIS3",0.592822927785626,1.98744106532432,8.19600677858065,2.93920405000713e-15,5.36334758077492e-13,24.0632988460761
"KCNH2",0.836290552615238,2.88762142156693,8.18953116877398,3.07909310220024e-15,5.56560602246761e-13,24.0181476739528
"TNS1",0.984165027017231,3.53518280820691,8.17182006441899,3.49618775378783e-15,6.26046330491354e-13,23.894788982042
"ARSI",0.655291545178499,1.412236616835,8.16848365829362,3.58078811907516e-15,6.29430278545689e-13,23.8715724041889
"PSD",0.642418800584862,1.52968016023869,8.12869300677814,4.75980583016708e-15,8.29071633690921e-13,23.5952171366271
"SPON2",0.739424615583428,5.06882542660373,8.12300136128139,4.95719238850722e-15,8.55673929403588e-13,23.5557674913601
