"","p.value","HR","Low 95%CI","High 95%CI"
"SPHK1",0.0462621440490293,1.17074301800451,1.00261594180482,1.36706305680617
"SLC4A4",0.0166605285207872,0.823727405174391,0.702811601985449,0.965446267703166
"C7",0.0464195756352172,1.13387488429048,1.00199515049011,1.28311225118794
"CXCL3",0.0450089637286891,0.858927164342759,0.740256640562961,0.996621756861016
"HOXD9",0.0133956193555816,1.19594429313337,1.03782320211354,1.37815646187664
"CLCA1",0.00858978621704499,0.921405598924748,0.866837904651113,0.979408345175648
"FABP4",0.0082957737532381,1.14393295888641,1.03523726730857,1.26404125484074
"LRRC19",0.0426908633493495,0.871435349868082,0.762849614779077,0.995477423449484
"REP15",0.0348520733942325,0.828358569936786,0.695431921009165,0.986693160981136
"SULT1B1",0.00388266403862125,0.818839707976714,0.714959216802994,0.937813586567338
"CXCL1",0.0279329728803132,0.85995937137965,0.751722770154952,0.983780390570374
"SFTA2",0.037986142037563,1.12231808927745,1.00641819025786,1.25156511051997
"SPINK4",0.00450545581058875,0.914329737823059,0.859533418103133,0.972619390776584
"ITLN1",0.00372201042822472,0.905995255044284,0.847534862218951,0.968488069049727
"B3GNT6",0.00917216085744262,0.866800798517609,0.778432401703421,0.965200860943894
"ARHGAP4",0.00169900778642806,1.27951367982163,1.09696612297444,1.4924392126272
"CLCA4",0.0109562571019917,0.878548208433211,0.795138338859095,0.970707758411812
"SERPINA1",0.0051560818476377,0.839749548724018,0.743020644264528,0.949070944428748
"TFF1",0.026405162639862,0.915027919846054,0.846036479924786,0.989645380506797
"ZG16",0.00805869372056479,0.896951367257259,0.827620197567005,0.972090528469167
